Date,2020-11-25 14:00:57
Filename,STFMK-20201105-LW19-3184_20201125_140057_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-PAHU-03S, 1760,55, 105.3,
Period,3SEC
Sample Rate,4000
0.03125,0.0081785740,
0.0315,-0.0074527175,
0.03175,0.0105401389,
0.032,0.0160580520,
0.03225,-0.0048003760,
0.0325,-0.0182926655,
0.03275,0.0334118605,
0.033,0.0025239752,
0.03325,0.0058006886,
0.0335,-0.0066438615,
0.03375,0.0132414503,
0.034,-0.0012961404,
0.03425,0.0017810110,
0.0345,-0.0110510103,
0.03475,-0.0153752416,
0.035,0.0053967284,
0.03525,0.0148387793,
0.0355,-0.0097697359,
0.03575,-0.0234920867,
0.036,-0.0087301722,
0.03625,-0.0678905100,
0.0365,-0.0243179202,
0.03675,0.0107128061,
0.037,0.0075773923,
0.03725,-0.0101275947,
0.0375,-0.0192225948,
0.03775,-0.0239879731,
0.038,0.0028211728,
0.03825,-0.0286879465,
0.0385,-0.0110154646,
0.03875,-0.0138213132,
0.039,-0.0024232217,
0.03925,-0.0035915943,
0.0395,0.0089470474,
0.03975,0.0044044531,
0.04,-0.0043726987,
0.04025,0.0080376407,
0.0405,-0.0082864501,
0.04075,-0.0093496097,
0.041,-0.0053329696,
0.04125,-0.0289376378,
0.0415,-0.0284411348,
0.04175,-0.0074319611,
0.042,0.0087451721,
0.04225,-0.0088619925,
0.0425,0.0008967927,
0.04275,0.0085717496,
0.043,0.0095424820,
0.04325,-0.0095553249,
0.0435,-0.0026224856,
0.04375,0.0007622694,
0.044,0.0164737292,
0.04425,-0.0151812388,
0.0445,0.0138707180,
0.04475,0.0129402326,
0.045,0.0058193267,
0.04525,-0.0165773574,
0.0455,-0.0166256391,
0.04575,-0.0037635213,
0.046,-0.0117748417,
0.04625,-0.0071030390,
0.0465,-0.0077978796,
0.04675,-0.0017150838,
0.047,-0.0093653528,
0.04725,-0.0155640505,
0.0475,0.0040540295,
0.04775,-0.0003023224,
0.048,-0.0043143476,
0.04825,0.0054648663,
0.0485,0.0001893794,
0.04875,0.0147912418,
0.049,0.0088695791,
0.04925,0.0004768324,
0.0495,-0.0038229376,
0.04975,0.0023824545,
0.05,0.0073955017,
0.05025,0.0140002463,
0.0505,-0.0020318357,
0.05075,0.0117138065,
0.051,-0.0185308047,
0.05125,-0.0178887732,
0.0515,-0.0033540910,
0.05175,0.0104843341,
0.052,-0.0043525142,
0.05225,0.0140211005,
0.0525,0.0051142061,
0.05275,0.0282996781,
0.053,-0.0418884531,
0.05325,-0.0314506590,
0.0535,-0.0047039157,
0.05375,0.0065234760,
0.054,-0.0099746212,
0.05425,-0.0091747176,
0.0545,0.0115294624,
0.05475,-0.0042312075,
0.055,-0.0036094291,
0.05525,-0.0059191603,
0.0555,0.0182759371,
0.05575,0.0107616661,
0.056,0.0183545724,
0.05625,0.0083482582,
0.0565,0.0202062316,
0.05675,0.0157133657,
0.057,0.0181126874,
0.05725,0.0008307127,
0.0575,0.0033252845,
0.05775,0.0086377347,
0.058,-0.0075226687,
0.05825,-0.0128861004,
0.0585,0.0129073784,
0.05875,0.0067376764,
0.059,-0.0017359070,
0.05925,0.0013221155,
0.0595,0.0230488181,
0.05975,0.0102326414,
0.06,0.0221633445,
0.06025,0.0219074991,
0.0605,0.0211793110,
0.06075,0.0211742166,
0.061,0.0046010101,
0.06125,0.0097628385,
0.0615,0.0124979587,
0.06175,-0.0020526052,
0.062,-0.0055458634,
0.06225,-0.0015427860,
0.0625,-0.0009856106,
0.06275,-0.0070893569,
0.063,0.0029004142,
0.06325,-0.0049553947,
0.0635,0.0135375205,
0.06375,0.0158599578,
0.064,0.0107371351,
0.06425,0.0123061370,
0.0645,0.0206869263,
0.06475,0.0110675637,
0.065,0.0119556254,
0.06525,0.0218562130,
0.0655,0.0145976515,
0.06575,0.0248522721,
0.066,0.0026036985,
0.06625,0.0187321007,
0.0665,0.0278576445,
0.06675,0.0253463238,
0.067,0.0086872810,
0.06725,0.0074977758,
0.0675,0.0146470163,
0.06775,-0.0097275274,
0.068,0.0055703991,
0.06825,0.0117376707,
0.0685,0.0310447104,
0.06875,-0.0059915641,
0.069,0.0078626266,
0.06925,0.0108422851,
0.0695,0.0047082608,
0.06975,0.0133963125,
0.07,0.0153260911,
0.07025,0.0082174530,
0.0705,0.0086477809,
0.07075,0.0062739593,
0.071,0.0047498508,
0.07125,0.0113529172,
0.0715,0.0172444750,
0.07175,0.0109351687,
0.072,0.0092070838,
0.07225,0.0015942811,
0.0725,-0.0093350578,
0.07275,-0.0159950890,
0.073,-0.0050491332,
0.07325,0.0023848554,
0.0735,0.0138677005,
0.07375,-0.0093460567,
0.074,0.0070465561,
0.07425,0.0144498143,
0.0745,0.0253788084,
0.07475,0.0004162267,
0.075,0.0108323628,
0.07525,0.0068407594,
0.0755,0.0187593065,
0.07575,0.0015563552,
0.076,0.0207793452,
0.07625,0.0195954647,
0.0765,0.0211515371,
0.07675,-0.0036428771,
0.077,-0.0017629841,
0.07725,0.0149592180,
0.0775,0.0132523002,
0.07775,-0.0016410435,
0.078,-0.0056642876,
0.07825,0.0071034436,
0.0785,0.0018194052,
0.07875,-0.0015342617,
0.079,-0.0172369033,
0.07925,0.0026843359,
0.0795,0.0093187336,
0.07975,-0.0116130486,
0.08,-0.0118584735,
0.08025,0.0073721316,
0.0805,0.0117888311,
0.08075,-0.0028387909,
0.081,0.0020380160,
0.08125,0.0080648055,
0.0815,-0.0000840940,
0.08175,-0.0001839457,
0.082,-0.0033574600,
0.08225,-0.0072114505,
0.0825,0.0036699383,
0.08275,-0.0086174570,
0.083,-0.0025166511,
0.08325,0.0084404945,
0.0835,-0.0114244204,
0.08375,-0.0218767338,
0.084,-0.0084027508,
0.08425,-0.0000856028,
0.0845,-0.0008668089,
0.08475,-0.0143375024,
0.085,-0.0179843213,
0.08525,-0.0031381894,
0.0855,0.0022193680,
0.08575,-0.0102564991,
0.086,0.0031551640,
0.08625,-0.0010150140,
0.0865,-0.0057965708,
0.08675,-0.0004330918,
0.087,0.0135080982,
0.08725,0.0074303611,
0.0875,0.0253479071,
0.08775,-0.0165063255,
0.088,0.0121341133,
0.08825,0.0081721898,
0.0885,0.0069819228,
0.08875,-0.0079041729,
0.089,-0.0001555932,
0.08925,-0.0047986312,
0.0895,-0.0063351006,
0.08975,-0.0198209099,
0.09,-0.0147473635,
0.09025,-0.0031254909,
0.0905,-0.0104193501,
0.09075,-0.0321459286,
0.091,-0.0021469269,
0.09125,-0.0011057905,
0.0915,-0.0004672065,
0.09175,-0.0068467977,
0.092,0.0119182291,
0.09225,-0.0073954212,
0.0925,0.0105492724,
0.09275,0.0092326887,
0.093,-0.0112894457,
0.09325,0.0012609367,
0.0935,0.0038305765,
0.09375,-0.0168790817,
0.094,-0.0030713514,
0.09425,-0.0001823637,
0.0945,-0.0225919820,
0.09475,-0.0260682199,
0.095,-0.0059964638,
0.09525,-0.0098160580,
0.0955,-0.0171319470,
0.09575,-0.0107147498,
0.096,0.0088631464,
0.09625,-0.0114763919,
0.0965,-0.0167484935,
0.09675,0.0094898837,
0.097,-0.0039934730,
0.09725,-0.0003551738,
0.0975,-0.0043484308,
0.09775,-0.0029100673,
0.098,0.0014060724,
0.09825,0.0101162177,
0.0985,-0.0055308752,
0.09875,-0.0000987393,
0.099,0.0146742556,
0.09925,0.0162847433,
0.0995,-0.0241332501,
0.09975,-0.0099444110,
0.1,-0.0004448989,
0.10025,-0.0275651887,
0.1005,-0.0342469811,
0.10075,-0.0120360721,
0.101,-0.0000066910,
0.10125,-0.0067477617,
0.1015,0.0042445217,
0.10175,-0.0053184102,
0.102,-0.0023085526,
0.10225,0.0112771234,
0.1025,0.0047577592,
0.10275,-0.0038014934,
0.103,0.0181153025,
0.10325,0.0041321344,
0.1035,-0.0044602230,
0.10375,-0.0067019826,
0.104,0.0141260270,
0.10425,0.0071602026,
0.1045,-0.0075864820,
0.10475,-0.0013043951,
0.105,-0.0010599658,
0.10525,-0.0172726139,
0.1055,-0.0142417606,
0.10575,-0.0165319946,
0.106,-0.0027499544,
0.10625,-0.0017066586,
0.1065,-0.0066686710,
0.10675,0.0084089581,
0.107,0.0147573920,
0.10725,-0.0001400744,
0.1075,-0.0040040431,
0.10775,0.0102702202,
0.108,0.0280863140,
0.10825,-0.0033341490,
0.1085,-0.0005087290,
0.10875,0.0168009512,
0.109,0.0106260190,
0.10925,-0.0071433005,
0.1095,-0.0024347720,
0.10975,0.0087877708,
0.11,0.0011682451,
0.11025,0.0055311192,
0.1105,0.0020881812,
0.11075,0.0078243874,
0.111,0.0145723904,
0.11125,0.0134439636,
0.1115,-0.0059984364,
0.11175,0.0118827261,
0.112,0.0113262814,
0.11225,-0.0060681337,
0.1125,-0.0079988008,
0.11275,0.0099074002,
0.113,0.0031621233,
0.11325,-0.0023255902,
0.1135,0.0033041402,
0.11375,0.0126013895,
0.114,0.0015004334,
0.11425,0.0033812644,
0.1145,0.0153945647,
0.11475,0.0021436373,
0.115,0.0057195853,
0.11525,0.0037847208,
0.1155,-0.0118620936,
0.11575,0.0052630194,
0.116,0.0110993246,
0.11625,-0.0104856510,
0.1165,-0.0141651426,
0.11675,0.0072230902,
0.117,-0.0182517581,
0.11725,-0.0117319860,
0.1175,-0.0054963157,
0.11775,-0.0019449068,
0.118,-0.0017178308,
0.11825,-0.0052311528,
0.1185,0.0005013606,
0.11875,0.0261269417,
0.119,0.0071205432,
0.11925,0.0044182274,
0.1195,0.0043335520,
0.11975,0.0089570489,
0.12,0.0117792562,
0.12025,-0.0000241086,
0.1205,-0.0037485212,
0.12075,-0.0012076289,
0.121,0.0123531520,
0.12125,-0.0184722785,
0.1215,-0.0266991258,
0.12175,0.0054823584,
0.122,-0.0061498284,
0.12225,-0.0238859560,
0.1225,-0.0026428665,
0.12275,0.0037264640,
0.123,-0.0077311406,
0.12325,0.0011126033,
0.1235,0.0099500464,
0.12375,-0.0000793362,
0.124,0.0093098599,
0.12425,0.0051477235,
0.1245,-0.0117539531,
0.12475,-0.0097315721,
0.125,-0.0002805545,
0.12525,-0.0110109104,
0.1255,-0.0043103765,
0.12575,-0.0059876782,
0.126,-0.0288208127,
0.12625,-0.0129416939,
0.1265,-0.0031972113,
0.12675,-0.0012482724,
0.127,0.0016049690,
0.12725,-0.0245639402,
0.1275,-0.0049925521,
0.12775,0.0011702271,
0.128,0.0052040280,
0.12825,-0.0068504745,
0.1285,-0.0000648590,
0.12875,-0.0039772149,
0.129,0.0004067141,
0.12925,-0.0164650716,
0.1295,-0.0055714268,
0.12975,0.0010724380,
0.13,-0.0150377285,
0.13025,-0.0197426975,
0.1305,0.0103251860,
0.13075,0.0104374299,
0.131,-0.0058283056,
0.13125,-0.0045125890,
0.1315,0.0088412073,
0.13175,-0.0026245858,
0.132,0.0013128592,
0.13225,-0.0017216250,
0.1325,-0.0187578890,
0.13275,0.0045801867,
0.133,-0.0351123214,
0.13325,-0.0282083824,
0.1335,0.0155110694,
0.13375,-0.0254701804,
0.134,-0.0162705723,
0.13425,-0.0038270603,
0.1345,0.0064127492,
0.13475,0.0075803157,
0.135,0.0049413559,
0.13525,-0.0086843986,
0.1355,-0.0116792861,
0.13575,0.0030784346,
0.136,0.0029868339,
0.13625,0.0012913463,
0.1365,-0.0057301000,
0.13675,0.0022071551,
0.137,-0.0003345323,
0.13725,-0.0122571168,
0.1375,-0.0067409659,
0.13775,0.0029066638,
0.138,-0.0528624691,
0.13825,-0.0240643155,
0.1385,-0.0056769205,
0.13875,-0.0104888212,
0.139,-0.0174648874,
0.13925,-0.0031445902,
0.1395,0.0092613818,
0.13975,0.0020273831,
0.14,0.0019538370,
0.14025,0.0052266931,
0.1405,0.0066210907,
0.14075,0.0071109296,
0.141,0.0020228343,
0.14125,0.0054200711,
0.1415,0.0189607665,
0.14175,-0.0049369894,
0.142,-0.0050566355,
0.14225,-0.0017270350,
0.1425,0.0062896693,
0.14275,0.0061119273,
0.143,-0.0026434392,
0.14325,-0.0263400376,
0.1435,-0.0025294060,
0.14375,0.0007151706,
0.144,-0.0035634348,
0.14425,0.0123254824,
0.1445,0.0124522382,
0.14475,-0.0030182905,
0.145,-0.0007235992,
0.14525,0.0207134150,
0.1455,0.0210462995,
0.14575,0.0104859928,
0.146,0.0046892255,
0.14625,-0.0002118772,
0.1465,-0.0035328921,
0.14675,0.0106956800,
0.147,0.0073624263,
0.14725,-0.0000378138,
0.1475,0.0104015954,
0.14775,-0.0091581913,
0.148,-0.0140768848,
0.14825,-0.0016683947,
0.1485,0.0077674650,
0.14875,-0.0022356063,
0.149,0.0098160049,
0.14925,-0.0129335942,
0.1495,0.0020599081,
0.14975,-0.0027112674,
0.15,-0.0186873935,
0.15025,-0.0194137320,
0.1505,0.0078291558,
0.15075,0.0076886732,
0.151,-0.0003366270,
0.15125,0.0167960320,
0.1515,0.0086688539,
0.15175,0.0117084030,
0.152,0.0127024464,
0.15225,0.0192735530,
0.1525,0.0211110171,
0.15275,0.0149658704,
0.153,0.0024416866,
0.15325,0.0095009664,
0.1535,0.0008249861,
0.15375,0.0042602178,
0.154,0.0013269628,
0.15425,-0.0026668713,
0.1545,0.0057931948,
0.15475,0.0023704332,
0.155,0.0060906080,
0.15525,0.0181340631,
0.1555,0.0081542563,
0.15575,0.0036746312,
0.156,0.0042746440,
0.15625,0.0089253131,
0.1565,0.0113677429,
0.15675,-0.0090130493,
0.157,-0.0231916718,
0.15725,0.0083164796,
0.1575,-0.0058156927,
0.15775,0.0026096485,
0.158,0.0026729985,
0.15825,0.0143556446,
0.1585,-0.0031509253,
0.15875,-0.0096286917,
0.159,-0.0082063265,
0.15925,0.0150002204,
0.1595,0.0204191748,
0.15975,-0.0269268733,
0.16,-0.0057948390,
0.16025,0.0091962079,
0.1605,0.0069358740,
0.16075,-0.0072589009,
0.161,0.0087379934,
0.16125,0.0112023903,
0.1615,0.0136879263,
0.16175,-0.0133620407,
0.162,0.0270320512,
0.16225,0.0137975449,
0.1625,0.0167432129,
0.16275,0.0130032916,
0.163,-0.0049759238,
0.16325,0.0244033542,
0.1635,0.0212405454,
0.16375,0.0158524532,
0.164,0.0014964656,
0.16425,0.0193974543,
0.1645,-0.0103389602,
0.16475,-0.0403678231,
0.165,-0.0182480179,
0.16525,0.0000783507,
0.1655,-0.0247128028,
0.16575,-0.0201468021,
0.166,0.0032027718,
0.16625,-0.0062083341,
0.1665,0.0023008117,
0.16675,-0.0061787227,
0.167,0.0019083442,
0.16725,0.0015616217,
0.1675,0.0113182385,
0.16775,0.0136139439,
0.168,0.0093580475,
0.16825,0.0094682276,
0.1685,0.0227131303,
0.16875,-0.0009502109,
0.169,0.0030899353,
0.16925,-0.0084964801,
0.1695,-0.0132485759,
0.16975,-0.0127792973,
0.17,0.0034324380,
0.17025,-0.0351662487,
0.1705,-0.0260930154,
0.17075,-0.0001123915,
0.171,0.0100800656,
0.17125,0.0158483684,
0.1715,0.0003780861,
0.17175,-0.0031540324,
0.172,0.0120496796,
0.17225,0.0223476645,
0.1725,0.0040725204,
0.17275,0.0071250675,
0.173,0.0272703469,
0.17325,-0.0022207622,
0.1735,0.0139169060,
0.17375,-0.0051162466,
0.174,0.0174885783,
0.17425,0.0121740364,
0.1745,0.0086432155,
0.17475,-0.0070314039,
0.175,0.0229841508,
0.17525,0.0106846876,
0.1755,0.0018012738,
0.17575,-0.0042762505,
0.176,-0.0023773478,
0.17625,-0.0073030293,
0.1765,-0.0141560715,
0.17675,0.0141521217,
0.177,0.0021611850,
0.17725,-0.0008857069,
0.1775,0.0056294361,
0.17775,-0.0013351580,
0.178,0.0061502736,
0.17825,0.0017523202,
0.1785,0.0041967221,
0.17875,0.0036967047,
0.179,0.0148455696,
0.17925,0.0073279692,
0.1795,0.0052013742,
0.17975,-0.0178823657,
0.18,0.0096169142,
0.18025,-0.0194512829,
0.1805,-0.0227332469,
0.18075,-0.0281833559,
0.181,-0.0079173911,
0.18125,-0.0036956249,
0.1815,-0.0320356302,
0.18175,-0.0078684948,
0.182,0.0116243511,
0.18225,0.0033039202,
0.1825,0.0023094658,
0.18275,0.0088834437,
0.183,0.0092311483,
0.18325,-0.0017778947,
0.1835,-0.0084620891,
0.18375,0.0059655034,
0.184,0.0063901558,
0.18425,-0.0090148626,
0.1845,-0.0126806777,
0.18475,0.0102784298,
0.185,-0.0002021840,
0.18525,-0.0061855074,
0.1855,-0.0156483166,
0.18575,-0.0354735516,
0.186,0.0163231660,
0.18625,-0.0085853729,
0.1865,0.0015407613,
0.18675,-0.0226513389,
0.187,-0.0235697255,
0.18725,-0.0354412049,
0.1875,-0.0102671254,
0.18775,-0.0109081827,
0.188,0.0059612878,
0.18825,-0.0130646294,
0.1885,0.0018763485,
0.18875,-0.0130090406,
0.189,0.0166683421,
0.18925,-0.0210086741,
0.1895,-0.0197056662,
0.18975,0.0029662121,
0.19,0.0107117137,
0.19025,0.0184104331,
0.1905,-0.0126847364,
0.19075,0.0075451699,
0.191,-0.0009617920,
0.19125,-0.0142588411,
0.1915,-0.0125250742,
0.19175,0.0049050809,
0.192,0.0066021220,
0.19225,-0.0068779155,
0.1925,0.0008073915,
0.19275,0.0068926541,
0.193,0.0091801351,
0.19325,-0.0214860607,
0.1935,0.0043962807,
0.19375,0.0049195401,
0.194,0.0003880284,
0.19425,0.0082124295,
0.1945,0.0103839636,
0.19475,0.0127438735,
0.195,0.0270553492,
0.19525,-0.0009461289,
0.1955,-0.0006587731,
0.19575,0.0150788706,
0.196,-0.0010110664,
0.19625,-0.0034337665,
0.1965,-0.0183837619,
0.19675,0.0009535567,
0.197,-0.0067304159,
0.19725,-0.0209732056,
0.1975,-0.0385095067,
0.19775,-0.0079617230,
0.198,-0.0187446624,
0.19825,-0.0377957523,
0.1985,-0.0053974292,
0.19875,0.0184493959,
0.199,0.0100635551,
0.19925,0.0082033323,
0.1995,0.0138402283,
0.19975,0.0141767235,
0.2,0.0166521613,
0.20025,0.0053527583,
0.2005,-0.0082195895,
0.20075,0.0018988025,
0.201,0.0050640758,
0.20125,-0.0061078705,
0.2015,-0.0028352099,
0.20175,-0.0048572426,
0.202,-0.0087872930,
0.20225,-0.0079847556,
0.2025,-0.0018401570,
0.20275,0.0101964595,
0.203,-0.0071897116,
0.20325,-0.0098645110,
0.2035,0.0129928924,
0.20375,0.0057076016,
0.204,-0.0012167753,
0.20425,-0.0019046367,
0.2045,0.0177744385,
0.20475,0.0144579364,
0.205,-0.0030438183,
0.20525,-0.0042667491,
0.2055,0.0272438843,
0.20575,0.0025960754,
0.206,-0.0018231610,
0.20625,0.0098005142,
0.2065,0.0103887338,
0.20675,0.0106298979,
0.207,0.0154457567,
0.20725,-0.0015582014,
0.2075,-0.0193230882,
0.20775,0.0025154338,
0.208,-0.0120603675,
0.20825,-0.0236735344,
0.2085,-0.0098368386,
0.20875,0.0174820889,
0.209,-0.0245974381,
0.20925,-0.0049000103,
0.2095,0.0230283439,
0.20975,0.0048053507,
0.21,-0.0038169555,
0.21025,0.0136300940,
0.2105,-0.0000091392,
0.21075,0.0027975454,
0.211,0.0014149933,
0.21125,-0.0071817772,
0.2115,-0.0000724155,
0.21175,0.0124637485,
0.212,-0.0018367246,
0.21225,-0.0002753620,
0.2125,0.0117478995,
0.21275,-0.0148736518,
0.213,-0.0166808013,
0.21325,-0.0199987069,
0.2135,0.0015296929,
0.21375,0.0102817025,
0.214,-0.0008462842,
0.21425,-0.0095409332,
0.2145,0.0061600059,
0.21475,0.0021054551,
0.215,-0.0155476434,
0.21525,0.0151477279,
0.2155,-0.0011273982,
0.21575,-0.0047612460,
0.216,-0.0179680847,
0.21625,-0.0006095403,
0.2165,-0.0126053123,
0.21675,0.0069219614,
0.217,-0.0166439153,
0.21725,-0.0145403706,
0.2175,0.0025000991,
0.21775,0.0227104705,
0.218,-0.0153884003,
0.21825,-0.0064411685,
0.2185,0.0131556559,
0.21875,0.0005819728,
0.219,-0.0153106563,
0.21925,-0.0069031268,
0.2195,0.0056575611,
0.21975,-0.0190574117,
0.22,-0.0085172728,
0.22025,0.0006342891,
0.2205,-0.0031827742,
0.22075,-0.0024277095,
0.221,-0.0015022370,
0.22125,-0.0075879302,
0.2215,0.0075284950,
0.22175,0.0059201736,
0.222,-0.0093888827,
0.22225,0.0115890196,
0.2225,-0.0013207640,
0.22275,-0.0010613283,
0.223,-0.0008892098,
0.22325,0.0058320304,
0.2235,-0.0140607553,
0.22375,-0.0320441723,
0.224,-0.0335921235,
0.22425,-0.0299833864,
0.2245,-0.0142996926,
0.22475,-0.0142519167,
0.225,-0.0154425437,
0.22525,-0.0144822979,
0.2255,0.0063433405,
0.22575,-0.0237915367,
0.226,-0.0037330030,
0.22625,-0.0000404511,
0.2265,0.0100648291,
0.22675,-0.0053106565,
0.227,-0.0028242252,
0.22725,0.0180404596,
0.2275,0.0068689347,
0.22775,-0.0040348694,
0.228,-0.0038811914,
0.22825,0.0134787094,
0.2285,-0.0044483407,
0.22875,-0.0082738176,
0.229,-0.0029650759,
0.22925,-0.0033567811,
0.2295,-0.0094207581,
0.22975,-0.0087353773,
0.23,-0.0241047032,
0.23025,0.0017570893,
0.2305,-0.0039508026,
0.23075,-0.0039205374,
0.231,-0.0146316718,
0.23125,0.0059429463,
0.2315,0.0081316587,
0.23175,-0.0033818763,
0.232,0.0094277775,
0.23225,0.0133132078,
0.2325,0.0050489102,
0.23275,0.0019323652,
0.233,0.0057724500,
0.23325,-0.0067860307,
0.2335,-0.0108158626,
0.23375,0.0029029995,
0.234,-0.0144113870,
0.23425,0.0028917617,
0.2345,-0.0117862634,
0.23475,-0.0118713221,
0.235,-0.0187645890,
0.23525,0.0126879066,
0.2355,-0.0075429473,
0.23575,-0.0080041187,
0.236,0.0081513710,
0.23625,0.0060300799,
0.2365,-0.0051254882,
0.23675,0.0064624078,
0.237,0.0164059568,
0.23725,0.0094009871,
0.2375,0.0081669930,
0.23775,-0.0037241823,
0.238,0.0143740065,
0.23825,0.0121425986,
0.2385,0.0175408255,
0.23875,-0.0132335899,
0.239,-0.0009960569,
0.23925,0.0129921250,
0.2395,0.0051835515,
0.23975,-0.0109803164,
0.24,-0.0028507132,
0.24025,0.0104435235,
0.2405,0.0045409896,
0.24075,-0.0202715416,
0.241,-0.0024609757,
0.24125,0.0100032669,
0.2415,0.0063983947,
0.24175,-0.0087115094,
0.242,0.0094115054,
0.24225,0.0026997859,
0.2425,0.0101076402,
0.24275,0.0016834488,
0.243,-0.0050902925,
0.24325,0.0182976965,
0.2435,-0.0034050071,
0.24375,-0.0017777215,
0.244,0.0256090835,
0.24425,0.0127007253,
0.2445,-0.0006642647,
0.24475,0.0075054732,
0.245,0.0188275445,
0.24525,-0.0047581978,
0.2455,-0.0085110757,
0.24575,0.0079561695,
0.246,-0.0077176197,
0.24625,0.0056107482,
0.2465,-0.0109854732,
0.24675,-0.0120313466,
0.247,-0.0101268673,
0.24725,0.0110549666,
0.2475,-0.0048015178,
0.24775,0.0091276374,
0.248,0.0237550866,
0.24825,0.0233086199,
0.2485,-0.0102903154,
0.24875,0.0148373367,
0.249,0.0112831173,
0.24925,0.0207188092,
0.2495,-0.0095270593,
0.24975,0.0090877209,
0.25,0.0166687667,
0.25025,0.0129865147,
0.2505,0.0055540218,
0.25075,0.0015023210,
0.251,0.0128887966,
0.25125,0.0031432374,
0.2515,-0.0039937105,
0.25175,-0.0055532651,
0.252,0.0079546086,
0.25225,0.0017798529,
0.2525,-0.0001173223,
0.25275,0.0003560804,
0.253,0.0053655473,
0.25325,0.0086928736,
0.2535,0.0021965024,
0.25375,0.0193943195,
0.254,0.0157597736,
0.25425,0.0090671796,
0.2545,0.0180385746,
0.25475,0.0144921374,
0.255,0.0039282623,
0.25525,0.0010382661,
0.2555,-0.0056324019,
0.25575,-0.0254306942,
0.256,-0.0036871922,
0.25625,-0.0062185712,
0.2565,-0.0194347892,
0.25675,0.0013501727,
0.257,0.0080489339,
0.25725,-0.0032284495,
0.2575,-0.0018639402,
0.25775,0.0181757640,
0.258,0.0121777859,
0.25825,0.0153231351,
0.2585,0.0108101778,
0.25875,0.0097438032,
0.259,0.0146293007,
0.25925,-0.0034824251,
